Academic Year ,LSS Number ,LSS Name ,School Number ,School Name ,Student Group ,Tested Count ,Proficient Count , Proficient Percent ,Create Date 
2020,03,Baltimore County,0102,Westchester Elementary,All,66,5,7.6,20230914
2020,03,Baltimore County,0102,Westchester Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0103,Westowne Elementary,All,48,6,12.5,20230914
2020,03,Baltimore County,0103,Westowne Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0104,Edmondson Heights Elementary,All,41,*,<= 5.0,20230914
2020,03,Baltimore County,0104,Edmondson Heights Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0105,Johnnycake Elementary,All,123,7,5.7,20230914
2020,03,Baltimore County,0105,Johnnycake Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,03,Baltimore County,0111,Maiden Choice School,All,*,*,*,20230914
2020,03,Baltimore County,0111,Maiden Choice School,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0112,Dogwood Elementary,All,52,4,7.7,20230914
2020,03,Baltimore County,0112,Dogwood Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0113,Chadwick Elementary,All,146,22,15.1,20230914
2020,03,Baltimore County,0113,Chadwick Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,03,Baltimore County,0115,Hillcrest Elementary,All,93,14,15.1,20230914
2020,03,Baltimore County,0115,Hillcrest Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0116,Woodbridge Elementary,All,118,21,17.8,20230914
2020,03,Baltimore County,0116,Woodbridge Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0151,Catonsville Middle,All,*,*,<= 5.0,20230914
2020,03,Baltimore County,0151,Catonsville Middle,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0155,Southwest Academy,All,27,2,7.4,20230914
2020,03,Baltimore County,0155,Southwest Academy,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All,173,*,<= 5.0,20230914
2020,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0174,Catonsville High,All,23,2,8.7,20230914
2020,03,Baltimore County,0174,Catonsville High,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0175,Western School of Technology & Env. Science,All,*,*,*,20230914
2020,03,Baltimore County,0202,Randallstown Elementary,All,33,7,21.2,20230914
2020,03,Baltimore County,0202,Randallstown Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0204,Featherbed Lane Elementary,All,64,16,25.0,20230914
2020,03,Baltimore County,0204,Featherbed Lane Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0205,Woodmoor Elementary,All,53,11,20.8,20230914
2020,03,Baltimore County,0205,Woodmoor Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0206,Scotts Branch Elementary,All,51,16,31.4,20230914
2020,03,Baltimore County,0206,Scotts Branch Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0207,Church Lane Elementary Technology,All,17,2,11.8,20230914
2020,03,Baltimore County,0207,Church Lane Elementary Technology,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0209,Hebbville Elementary,All,54,3,5.6,20230914
2020,03,Baltimore County,0209,Hebbville Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0210,Powhatan Elementary,All,11,2,18.2,20230914
2020,03,Baltimore County,0211,Winfield Elementary,All,62,10,16.1,20230914
2020,03,Baltimore County,0211,Winfield Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0213,Winand Elementary,All,*,*,<= 5.0,20230914
2020,03,Baltimore County,0213,Winand Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0214,Hernwood Elementary,All,10,4,40.0,20230914
2020,03,Baltimore County,0214,Hernwood Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0216,Deer Park Elementary,All,18,6,33.3,20230914
2020,03,Baltimore County,0217,New Town Elementary,All,24,4,16.7,20230914
2020,03,Baltimore County,0217,New Town Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0252,Northwest Academy of Health Sciences,All,*,*,*,20230914
2020,03,Baltimore County,0253,Woodlawn Middle,All,*,*,<= 5.0,20230914
2020,03,Baltimore County,0253,Woodlawn Middle,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0254,Deer Park Middle Magnet School,All,*,*,*,20230914
2020,03,Baltimore County,0256,Windsor Mill Middle,All,10,1,10.0,20230914
2020,03,Baltimore County,0256,Windsor Mill Middle,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0271,Milford Mill Academy,All,*,*,<= 5.0,20230914
2020,03,Baltimore County,0271,Milford Mill Academy,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0272,Randallstown High,All,*,*,*,20230914
2020,03,Baltimore County,0272,Randallstown High,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0303,Bedford Elementary,All,37,8,21.6,20230914
2020,03,Baltimore County,0303,Bedford Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0304,Wellwood International Elementary,All,59,9,15.3,20230914
2020,03,Baltimore County,0304,Wellwood International Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0307,Milbrook Elementary,All,84,11,13.1,20230914
2020,03,Baltimore County,0307,Milbrook Elementary,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0308,Fort Garrison Elementary,All,*,*,*,20230914
2020,03,Baltimore County,0310,Summit Park Elementary,All,34,7,20.6,20230914
